parish,top1_share,top3_share,median_rank,best_rank,worst_rank
Lumiar,48.24,79.3,2.0,1,8
Arroios,46.48,77.36,2.0,1,6
Areeiro,5.26,83.82,2.0,1,6
São Domingos de Benfica,0.0,37.24,4.0,2,6
Avenidas Novas,0.0,13.62,5.0,2,8
Penha de França,0.02,7.7,6.0,1,9
Carnide,0.0,0.72,7.0,2,9
Santo António,0.0,0.24,8.0,2,9
Campolide,0.0,0.0,9.0,7,9
Misericórdia,0.0,0.0,10.0,10,10
