parish,demand_proxy_score,transit_access_score,competition_opportunity_score,median_rent_eur_m2_month,rent_sample_size,rent_opportunity_score,pilot_opportunity_score,pilot_rank,top1_share,top3_share,median_rank,best_rank,worst_rank,recommendation_role
Lumiar,43.33,67.5,95.65,15.71,17,88.89,69.29,1,48.24,79.3,2.0,1,8,shortlist
Arroios,94.17,95.0,13.04,17.5,15,61.11,69.14,2,46.48,77.36,2.0,1,6,shortlist
Areeiro,85.42,73.33,52.17,17.73,10,44.44,67.94,3,5.26,83.82,2.0,1,6,shortlist
